行號 23: 控制項 ImageList1 的物件類別 MSComctlLib.ImageList 尚未被載入。
行號 1629: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1644: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1659: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1674: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1689: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1705: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1720: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1736: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1751: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1768: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1785: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1800: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1815: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1830: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1845: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1860: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1875: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1890: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1905: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1920: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1935: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1950: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1965: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1980: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1995: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2010: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2025: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2041: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2056: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2071: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2086: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2101: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2116: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2131: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2147: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2162: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2177: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2192: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2208: 控制項 cboPCU11 的物件類別 MSForms.ComboBox 尚未被載入。
行號 2276: 控制項 lblPCU47N 的物件類別 MSForms.Label 尚未被載入。
行號 2301: 控制項 lbl2 的物件類別 MSForms.Label 尚未被載入。
行號 2316: 控制項 lbl2 的物件類別 MSForms.Label 尚未被載入。
行號 2331: 控制項 lbl2 的物件類別 MSForms.Label 尚未被載入。
行號 2346: 控制項 lbl2 的物件類別 MSForms.Label 尚未被載入。
行號 2371: 控制項 lbl2 的物件類別 MSForms.Label 尚未被載入。
行號 2386: 控制項 lbl2 的物件類別 MSForms.Label 尚未被載入。
行號 2911: 控制項 textCUID 的物件類別 MSForms.TextBox 尚未被載入。
行號 2926: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 2941: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
